Metabolite.name.mod,HyPea.7404_1,HyPep.4601N_3,HyPep.7504_1,HyPep.7504_2,HyPep.7504_3,HyPep.YE_1,HyPep.YE_2,HyPep.YE_3,HY.YEST.412_1,HY.YEST.412_2,HY.YEST.412_3,HyPea.7404_2,HY.YEST.466_1,HY.YEST.466_2,HY.YEST.466_3,HY.YEST.503_1,HY.YEST.503_2,HY.YEST.503_3,HY.YEST.555_1,HY.YEST.555_2,HY.YEST.555_3,HyPea.7404_3,HyPep.1510_1,HyPep.1510_2,HyPep.1510_3,HyPep.1510_4,HyPep.4601N_1,HyPep.4601N_2
Ureidoglutaric acid,-0.226929249,-0.350461205,-0.528692875,-0.537346491,-0.608058592,-0.459387631,-0.354062417,-0.59644354,-0.727091494,-0.760375378,-0.633025589,-0.349396941,-0.569987598,-0.620045931,-0.609845329,-0.401441657,-0.551537331,-0.460573051,4.939279144,7.085626454,2.619704348,-0.343828829,-0.573586964,-0.647178474,-0.64184114,-0.63108059,-0.552341387,-0.544103617
Uridine,-0.290097955,-0.427758421,-0.250864242,-0.327795789,-0.303580888,-0.412397615,-0.350620148,-0.15789197,-0.447064627,-0.649623857,-0.501986563,-0.421729452,-0.308844588,0.570787658,0.848444152,0.726617118,1.64819905,1.720441661,0.670538549,1.164270132,1.456406807,-0.425097732,-0.465718725,-0.504490519,-0.494687579,-0.464383874,-0.580750624,-0.598499723
Uridine 5'-diphosphate,-0.305561148,-0.408602758,-0.346491502,-0.388908649,-0.442649335,-0.4550263,-0.40130723,-0.426022165,-0.752506378,-0.726590994,-0.672141875,-0.441592522,-0.331927404,-0.631582812,-0.157629504,0.311364093,2.553982767,2.47704847,3.112765974,1.756254854,2.426198924,-0.475346027,-0.583107412,-0.652003436,-0.628223909,-0.639280392,-0.590831879,-0.6187253
Uridine 5'-diphospho-N-acetylglucosamine,-0.330061104,-0.452931189,-0.510074316,-0.524963854,-0.641862831,-0.673848399,-0.640973705,-0.594417928,-0.586544358,-0.753564353,-0.090982106,-0.482511993,0.401359312,0.52040149,0.176174952,1.299753828,2.157919084,2.209295253,2.440555974,0.811237646,1.111659196,-0.505495983,-0.559745355,-0.65200306,-0.583171073,-0.618858842,-0.636500996,-0.65022352
Uridine 5'-monophosphate,-0.319146598,-0.430637207,-0.465801969,-0.47849891,-0.549404771,0.021994523,0.436736624,1.031986216,-0.394507845,-0.659584666,-0.388223634,-0.424799064,0.552269981,0.193039719,0.306796674,0.7360766,1.316989704,1.398519805,0.616527936,0.68040036,1.782721127,-0.476733834,-0.561205021,-0.627122136,-0.622971445,-0.614281063,-0.618975411,-0.621014311
Valine,-0.326403481,-0.362522403,-0.296047929,0.060995016,0.226684873,0.235069977,0.477538073,0.787719588,0.753670927,1.186772891,0.787236936,-0.426016174,0.029929773,0.092747191,-0.055044247,0.457428033,1.053553653,0.525258999,-0.261840854,-0.429576878,-0.443748008,-0.441119675,-0.565638676,-0.290283881,-0.627069424,-0.618796113,-0.222656069,-0.302065657
Vanillic acid,-0.32867821,-0.43121978,-0.025044459,-0.434078325,0.074378159,-0.424584344,-0.492913355,-0.584585638,-0.685016189,-0.584122734,-0.589494746,-0.466812399,-0.68512755,-0.694281933,-0.660670398,-0.249409832,0.184432467,-0.339311454,-0.3995033,-0.55141148,-0.459676256,-0.499489321,1.934462738,2.160122043,4.304986578,1.95454463,-0.527584991,-0.607856379
Verbascose,0.454609009,2.098712077,-0.139836279,0.027486568,0.188656227,-0.716820305,-0.640973682,-0.715573657,-0.847078864,-0.910569616,-0.76285123,0.736005723,-0.743411907,-0.646891971,-0.684551044,-0.019688094,-0.106907145,-0.111576054,-0.163653227,-0.58456257,-0.728060553,0.529077318,-0.542753256,-0.537005954,-0.395903978,-0.543547149,3.003174743,3.082502799
Xanthosine,0.070012918,-0.452930766,2.099190587,2.076144882,1.880632612,0.493600533,-0.150482802,-0.593462198,-0.795175815,-0.887352495,-0.672828018,0.182941442,-0.758361323,-0.696542553,-0.686912607,-0.425329243,-0.760672629,-0.696684491,-0.450044254,-0.408950416,-0.709739102,-0.106653615,0.287852476,0.353466352,0.242020744,0.108253716,-0.623241583,-0.650222982
Xanthosine (Not validated),0.008304701,-0.448595981,1.852644164,2.394059628,1.675641718,0.556984335,-0.051924625,-0.585543983,-0.762452441,-0.80414348,-0.759768146,0.126820438,-0.731474405,-0.65391587,-0.668417353,-0.566657723,-0.753754032,-0.701221605,-0.43404097,-0.356592584,-0.6789293,-0.081148884,0.240698088,0.293164894,0.195904067,0.264828955,-0.616126068,-0.622197926
Xanthurenic Acid,0.14279206,-0.30992094,-0.243489419,-0.260781463,1.03221364,0.297064537,-0.326864578,-0.33751561,0.807350522,0.710825232,-0.249344475,0.482313563,1.285010476,1.296043831,0.791907601,-0.396779152,-0.579355953,-0.598255367,-0.473920693,-0.543511809,-0.333900575,0.555347073,-0.480739839,-0.491311365,-0.509393345,-0.623653707,-0.444288587,-0.465116972
Xylitol,-0.215441595,-0.387365651,-0.202200119,-0.189587165,-0.30678744,0.287720187,0.130792043,0.358174667,0.667030651,0.662181492,0.489295825,-0.318252312,0.007820768,0.380771297,0.400099004,-0.081819031,0.198800699,0.142997149,0.300457927,0.497146428,0.391028831,-0.307436332,-0.288067681,-0.295327116,-0.320677236,-0.262362365,-0.537695486,-0.545046417
Zeatin,-0.330061985,-0.452931813,-0.545149619,-0.528362271,-0.63927547,-0.530448717,-0.376614833,-0.294094231,-0.710372443,-0.016604109,-0.709029337,-0.47834846,9.41625107,-0.20050826,-0.55870965,-0.53787995,-0.721380784,-0.709426878,-0.282299826,-0.602096474,2.882714777,-0.503178865,-0.58310795,-0.651255622,-0.646422552,-0.639281261,-0.636501812,-0.650224492
