Sample,HyPea.7404_3,HyPep.1510_1,HyPep.1510_2,HyPep.1510_4,HyPep.4601N_1,HyPep.4601N_2,HyPep.1510_3,HyPep.7504_1,HyPep.7504_2,HyPep.7504_3,HyPep.4601N_3,HyPea.7404_2,HY.YEST.412_1,HY.YEST.412_2,HY.YEST.412_3,HY.YEST.466_1,HY.YEST.466_2,HY.YEST.466_3,HY.YEST.503_1,HY.YEST.503_2,HY.YEST.503_3,HY.YEST.555_1,HY.YEST.555_2,HY.YEST.555_3,HyPea.7404_1,HyPep.YE_2,HyPep.YE_3,HyPep.YE_1
"3-[(2s,3r,4s,5r,6r)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2s,3r,4r,5r,6s)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",4.97E-07,5.35E-07,4.90E-07,6.46E-07,0.012614607,0.014552154,6.26E-07,0.323724945,0.348358136,0.265580788,4.87E-07,6.78E-07,6.01E-07,6.04E-07,0.015901618,5.45E-07,5.28E-07,0.006044324,0.006351679,0.006860822,5.91E-07,4.90E-07,6.65E-07,6.08E-07,4.91E-07,6.45E-07,6.51E-07,5.51E-07
"3-[(2s,3r,4s,5s,6r)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2s,3r,4s,5r)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",1.48E-07,0.000843266,0.001101487,0.000169902,1.33E-07,0.000762642,0.000609752,0.373142372,0.381363089,0.239440336,0.000251932,1.34E-07,0.000118795,0.000750868,0.000863381,1.32E-07,0.000121552,0.000161427,1.39E-07,0.000195643,1.56E-07,1.42E-07,1.36E-07,1.19E-07,1.38E-07,1.47E-07,0.000101899,1.36E-07
3-hydroxyanthranilic acid,0.000679626,1.49E-07,0.000108041,0.000990501,0.000357566,0.001495851,0.001474785,0.022751131,0.030513027,0.022916395,0.000438679,0.00041251,0.002945662,0.017880713,0.003317018,0.125617457,0.116325832,0.142901393,0.002897125,0.002845982,0.003239272,0.128298391,0.270090383,0.087123303,0.000102177,0.00536708,0.004028025,0.004881928
3-hydroxypyridine,0.014235491,0.015266618,0.015792336,0.015704378,0.007823193,0.005870623,0.013703755,0.153904209,0.134165158,0.323910883,0.003352063,0.007137512,0.014936073,0.01838202,0.004217452,0.028225513,0.011848856,0.012306385,0.012032332,0.014325382,0.013488105,0.015684682,0.009703659,0.027366167,0.013790196,0.027119126,0.025074439,0.040633392
3-hydroxytyramine,0.002476262,0.006018884,0.003596661,0.015189874,0.008795608,0.004581901,0.006293403,0.030382456,0.028840281,0.037516297,0.004329352,0.003267117,0.04243045,0.128156769,0.014768098,0.022649817,0.041680953,0.096353908,0.041361786,0.056389495,0.039361135,0.03705043,0.031720627,0.030873988,7.26E-08,0.063732452,0.068982375,0.13319955
3-phenyllactic acid,0.011024467,0.000257114,0.000101697,0.000217064,0.005816711,0.003315473,0.000564385,0.001672332,0.001718661,0.003202767,0.00311035,1.81E-05,0.03678208,0.052033161,0.041696357,0.095985809,0.021499341,0.192575135,0.005744108,0.012816558,0.006145285,0.045218411,0.020229283,0.325223746,0.012132399,0.034514216,0.023988088,0.042396886
"3,5-dihydroxydecanoic acid",0.000988434,0.000549937,0.000453017,0.001947103,9.73E-05,0.000879536,0.012542915,0.05493306,0.046271646,0.019322202,0.000692231,0.000327421,0.017306856,0.045852025,0.001111852,0.015290784,0.009601933,0.038862201,0.111636082,0.054243733,0.31365818,0.01559824,0.03163026,0.010988572,0.00029693,0.096891968,0.001695185,0.096330415
"4-[(e)-3-[(2r,3r,4s,5s,6r)-3-[(2s,3r,4r)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybut-1-enyl]-3,5,5-trimethylcyclohex-2-en-1-one",5.06E-06,3.96E-06,4.18E-06,4.43E-06,4.86E-06,5.32E-06,3.92E-06,5.11E-06,4.32E-06,3.92E-06,3.68E-06,3.99E-06,5.02E-06,5.40E-06,4.58E-06,5.35E-06,4.73E-06,4.23E-06,5.40E-06,3.66E-06,3.68E-06,0.999879905,4.37E-06,3.83E-06,4.60E-06,4.42E-06,3.85E-06,4.23E-06
"4-[[4-hydroxy-2-(2-methylpropyl)-1-oxo-3,3a-dihydro-2h-imidazo[1,2-a]indol-4-yl]methyl]-1-methyl-2,4-dihydro-1h-pyrazino[2,1-b]quinazoline-3,6-dione",0.132400968,0.006847518,0.006183639,6.44E-07,4.84E-07,6.31E-07,0.019453543,5.33E-07,5.67E-07,5.88E-07,6.42E-07,5.95E-07,0.092914069,0.107361374,0.193191579,0.117231658,0.124482452,0.141461819,4.82E-07,6.05E-07,4.85E-07,5.07E-07,5.69E-07,6.98E-07,5.75E-07,6.68E-07,0.058461508,5.99E-07
4-acetamidobutyric acid,0.001332444,0.003265701,0.002891398,0.002364354,0.001659904,0.001612718,0.002732095,0.009519759,0.010756281,0.007487747,0.00167174,0.000778195,0.053676216,0.118937146,0.043187967,0.073199192,0.036537983,0.099902933,0.076965646,0.059901763,0.057984961,0.013742009,0.00916209,0.020216676,0.001382788,0.069023181,0.086179722,0.133927389
4-aminobenzoic acid,0.134632798,0.078925105,0.075580894,0.080559405,0.004639704,0.004382894,0.075125366,0.04593123,0.0436532,0.043526738,0.002998817,0.122689351,0.010776844,0.018400789,0.011326549,0.003681034,0.003899887,0.005078888,0.011837324,0.019904536,0.01913831,0.003992031,0.003503711,0.005203393,0.117175372,0.020168909,0.008600462,0.024666461
4-guanidinobutyric acid,0.007733445,0.02085713,0.019036597,0.034717366,0.032062161,0.033403667,0.021884603,0.16034598,0.125883005,0.219983689,0.026600532,0.007701684,0.023367136,0.019198063,0.019959694,0.004206174,0.006526046,0.005930857,0.027542505,0.012964363,0.013019116,0.004837102,0.005932809,0.00462755,0.007609935,0.05932278,0.026863409,0.047882604
4-hydroxyphenyllactic acid,0.026744678,0.001833625,0.004219101,0.000890171,0.005460813,0.003777258,0.00167823,0.003710971,0.004247862,0.006473851,0.003747266,0.010186379,0.06915426,0.11280769,0.077125444,0.028401681,0.011692841,0.064568295,0.008768879,0.015855508,0.109539903,0.034506061,0.009677922,0.230501919,0.020652795,0.044062202,0.036672065,0.053042332
4-methyl-5-thiazoleethanol,3.76E-05,0.014356519,0.016494179,0.015969226,0.002033963,0.001602761,0.01589127,0.108921285,0.122042105,0.108059493,0.001306619,0.000704838,0.050120894,0.039352954,0.056005268,0.050541879,0.03462284,0.034406427,0.009257184,0.007990266,0.00703452,0.009318725,0.009717781,0.01714478,0.000734588,0.09913639,0.055704055,0.111491543
4-o-methylphloracetophenone,0.000381473,0.000120364,2.11E-07,0.000863279,0.000366362,2.14E-07,9.98E-05,0.000753986,0.00162113,0.001650123,0.000467573,0.000260583,0.099630995,0.049144712,0.130652818,0.150404042,0.204999906,0.129203711,0.032787741,0.014346636,0.009135332,0.066441046,0.041629983,0.059568901,0.000436472,0.001538721,0.002785406,0.000708476
4-pyridoxic acid,0.044451202,0.060316922,0.065050796,0.053860686,0.021174001,0.019787721,0.051047033,0.101405819,0.106672605,0.110337223,0.011719359,0.031548403,0.016102614,0.01287813,0.023682479,0.017861949,0.000961084,0.01805025,0.025761755,0.023087354,0.016791432,0.01340177,0.011279339,0.013963528,0.021063538,0.016314897,0.029506273,0.061921837
5'-s-methylthioadenosine,0.000281384,0.000290969,0.000524111,0.000380107,3.38E-05,0.000270156,0.000504531,0.000319699,0.000327475,0.000874765,0.000216965,0.000571228,0.00396293,0.018909945,0.009974374,0.207481117,0.312028784,0.278782251,0.035401779,0.006703771,0.001641935,0.002175069,0.001836779,0.021276989,0.000142576,0.039110978,0.019769465,0.036206073
5-aminosalicylic??Acid,9.24E-08,0.024846394,0.027127896,0.021993642,0.002429679,0.000100289,0.030147888,0.011714821,0.012944441,0.022328491,0.000733517,0.00410208,0.091267892,0.12669204,0.076547814,0.004313156,0.008687185,0.016538999,0.018300361,0.021855135,0.024577023,0.012777754,0.00499372,0.024975968,0.001468324,0.138446553,0.09104558,0.179043265
"5-hydroxy-2,2-dimethyl-10-(2-methylbut-3-en-2-yl)pyrano[3,2-g]chromen-8-one",0.009193189,0.029378613,0.024140746,0.01192013,0.040915398,0.04544203,0.015288666,0.033789178,0.035529223,0.013809128,0.048738991,0.039966869,0.039817916,0.039276268,0.03341357,0.038973847,0.038525698,0.024689165,0.051707095,0.041654361,0.044095003,0.057392789,0.039626405,0.058426112,0.034019701,0.031576158,0.042237923,0.036455828
"5-hydroxy-3-[(2s,3r,4r,5s)-3-hydroxy-5-(hydroxymethyl)-4-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-yl]oxy-2-(4-hydroxyphenyl)-7-[(2s,3r,4r,5r,6s)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",1.95E-07,1.73E-07,1.92E-07,1.40E-07,1.34E-07,1.85E-07,1.51E-07,0.336781324,0.395776927,0.267437802,1.47E-07,1.61E-07,1.40E-07,1.78E-07,1.61E-07,1.78E-07,1.32E-07,1.55E-07,1.76E-07,1.34E-07,1.78E-07,1.60E-07,1.66E-07,1.30E-07,1.38E-07,1.45E-07,1.53E-07,1.45E-07
5-hydroxy-3-indoleacetic acid,0.00323815,0.017589801,0.018096138,0.019244262,0.000475811,0.018121961,0.018798343,0.296432673,0.243065162,0.30877038,0.010635473,0.026557488,0.000361018,0.001352934,0.00036248,0.001992091,0.001113896,0.000424651,0.002806751,0.001956523,0.00034377,0.000526094,0.001174313,0.000716701,0.000192142,0.0023697,0.000588655,0.00269264
5-hydroxytryptophan,0.00548693,0.06492315,0.06019122,0.173469676,0.030036728,0.026522617,0.017280056,0.00573588,0.013221267,0.007603078,0.028851702,0.005532533,0.044644449,0.033634405,0.042672317,0.079911765,0.07406042,0.089652778,0.007254091,0.004873315,0.005716185,0.019514396,0.016605571,0.042553253,0.013219435,0.02724902,0.030920793,0.028662969
5-o-methylgenistein,6.12E-08,0.121032271,0.142589437,0.17483712,0.029229398,6.24E-08,0.113040277,0.01458357,0.158224194,6.89E-08,8.00E-08,6.50E-08,0.057845252,0.024289222,0.076352374,0.013847281,0.01715809,0.009114881,0.009792974,0.007286091,6.89E-08,5.91E-08,7.38E-08,0.030776766,6.03E-08,6.01E-08,6.24E-08,7.99E-08
"7,2'-dihydroxyflavone",5.42E-08,0.155627762,0.216000752,0.198702987,0.107417582,4.42E-08,0.179600248,0.022811742,0.110684882,0.002713954,0.000207106,5.27E-08,0.000166204,4.19E-08,0.000213186,4.46E-08,4.91E-08,5.34E-08,0.000263873,0.000104677,5.29E-08,0.000100348,5.12E-08,0.000112667,5.32E-08,0.00051864,0.000122375,0.004630519
