Sample,HyPea.7404_3,HyPep.1510_1,HyPep.1510_2,HyPep.1510_4,HyPep.4601N_1,HyPep.4601N_2,HyPep.1510_3,HyPep.7504_1,HyPep.7504_2,HyPep.7504_3,HyPep.4601N_3,HyPea.7404_2,HY.YEST.412_1,HY.YEST.412_2,HY.YEST.412_3,HY.YEST.466_1,HY.YEST.466_2,HY.YEST.466_3,HY.YEST.503_1,HY.YEST.503_2,HY.YEST.503_3,HY.YEST.555_1,HY.YEST.555_2,HY.YEST.555_3,HyPea.7404_1,HyPep.YE_2,HyPep.YE_3,HyPep.YE_1
Glutamate,0.023776646,0.089884969,0.086402848,0.080511325,0.019354967,0.049021277,0.084673321,0.003038854,0.005666042,0.001803953,0.034792814,0.017500077,0.022049326,0.023225986,0.029788687,0.024431127,0.037203463,0.033242583,0.036826056,0.029348626,0.018849416,0.060232742,0.061705238,0.048025267,0.023676583,0.020979772,0.014919211,0.019068823
Glutamine,0.018943475,0.079811333,0.082017561,0.062810845,0.131649928,0.133494846,0.061026952,0.012421347,0.012098067,0.015245421,0.13308653,0.017221299,0.014917273,0.013177558,0.013271311,0.016529136,0.013713015,0.017307016,0.018229343,0.02352011,0.023138161,0.013107993,0.012280848,0.010713883,0.019991812,0.008687154,0.007840665,0.013747116
Glutaric acid,0.002631088,0.026221029,0.024426202,0.019477195,0.002168102,0.001800866,0.021870808,0.037289988,0.040987539,0.04268715,0.001141717,0.002361868,0.017813937,0.03724692,0.023482215,0.060410774,0.095209624,0.0844983,0.043954838,0.048102221,0.032687581,0.08639086,0.071841814,0.035332999,0.00277407,0.063782091,0.025858482,0.047549723
Glutathione (oxidized),1.10E-08,9.65E-09,1.14E-08,1.01E-08,0.00025679,0.000299097,1.28E-08,0.003856825,0.004801541,0.003404223,0.000130134,1.05E-08,0.064677407,0.07990919,0.044055639,0.093033932,0.111152425,0.097423402,0.039291328,0.030607656,0.064646501,0.017274069,0.016967095,0.021168912,3.14E-06,0.143506376,0.118017522,0.045516741
Glutathione (reduced),0.00311285,0.007514176,0.005914224,0.004393285,0.001085692,0.000933131,0.005863665,0.001659465,0.00270453,0.000775347,0.001261685,0.004161826,0.010590649,0.007671641,0.04513977,0.223718833,0.426505233,0.062516324,0.001141275,0.00203504,0.002139143,0.103037967,0.023292956,0.028605451,0.004425336,0.003124423,0.007246026,0.009430063
Gly-ile,0.033152796,0.074599342,0.075117692,0.066302055,0.040721007,0.044172174,0.070940793,0.035702946,0.032248831,0.036770237,0.03491507,0.041520909,0.031260312,0.027934292,0.029082615,0.023261623,0.024282016,0.022930759,0.032906427,0.026059583,0.030407916,0.02843178,0.026700472,0.017818732,0.035747639,0.020522441,0.017462573,0.019026967
Gly-leu,0.039876197,0.073604998,0.070980154,0.055593408,0.040850501,0.044612364,0.05909521,0.045733105,0.036485835,0.045837968,0.039143635,0.043036416,0.025783401,0.025546211,0.02404693,0.022641472,0.02233645,0.040740605,0.026812026,0.0275607,0.031511084,0.022447579,0.032645026,0.014616136,0.040307538,0.015176792,0.0115771,0.021401166
Gly-tyr,0.027445545,0.047965402,0.005871677,0.038789732,0.034093411,0.037594875,0.004410912,0.044319725,0.038436678,0.041570524,0.030135393,0.027808164,0.026462074,0.028074386,0.027078217,0.028125592,0.033022411,0.024447551,0.094424394,0.077352105,0.087862127,0.058329278,0.054481383,0.023495033,0.02474644,0.011782628,0.011282021,0.010592332
Gly-tyr-ala,0.002150823,0.100121535,0.095675221,0.067442628,0.016614104,0.018189165,0.094112519,0.026640375,0.028852701,0.030704738,0.020105466,0.002658251,0.000576926,0.00695161,0.260423962,0.212080378,0.000565731,0.000779606,0.000929363,0.00070531,0.000833257,0.000484746,0.000278722,0.000370175,0.001212737,0.008490177,0.001280782,0.000768992
Gly-val,0.007344798,0.061084415,0.056160552,0.052044319,0.087832364,0.099064703,0.057957216,0.019062262,0.018331396,0.020186586,0.086095862,0.007904578,0.040306294,0.039842043,0.046124982,0.041968291,0.043353268,0.040503129,0.010887889,0.010758389,0.010908587,0.00844075,0.00761764,0.01604032,0.006712575,0.042033936,0.029751302,0.031681559
Glyceraldehyde,0.052070669,0.001639448,0.001122615,0.000958365,0.013721042,0.009391012,0.001146592,0.004992251,0.005454398,0.008997413,0.024470643,0.031917202,0.138893994,0.122008784,0.120784171,0.010313145,0.00876248,0.026352497,0.000830804,0.009517961,0.003452506,0.036713775,0.027864852,0.0703819,0.048555254,0.052552873,0.067108033,0.100025322
Glycocholic acid,0.001875681,0.226401181,0.238449944,0.225281561,0.000622667,0.004078597,0.223482863,0.000517891,0.000928661,0.006771009,0.000666643,0.001374654,0.001867819,0.000601545,0.000375954,0.000811411,0.002161705,0.000971694,0.001122384,0.003147616,0.000485447,0.003715052,0.027985808,0.022975431,0.001015197,0.000950833,0.00077362,0.000587131
Guanidinoacetic acid,0.007216074,0.018352169,0.034815738,0.02579781,0.043112977,0.033911268,0.032824427,0.041562084,0.06068605,0.055191223,0.076896376,0.00474257,0.029157664,0.035637773,0.057436971,0.058416166,0.084032957,0.07584525,0.025817483,0.017010953,0.021544681,0.016390732,0.038978339,0.036623116,0.011997032,0.02161544,0.016630267,0.01775641
Guanine,0.001408715,0.001388417,0.001256469,0.001276322,0.0007217,0.000724365,0.00109244,0.043801146,0.017699927,0.042810277,0.00024524,0.000609575,0.044339395,0.000869223,0.001162199,0.17336887,0.114793031,0.115429316,0.024057367,0.021373036,0.016043031,0.076695419,0.053373799,0.130367628,0.002565483,0.005374122,0.077514423,0.029639073
Guanosine,0.002658881,0.002024809,0.002657191,0.002324924,0.030031246,0.027784868,0.001973408,0.105436052,0.044966825,0.084490347,0.010924094,0.001508198,0.008719029,0.00244726,0.005878081,0.0171522,0.097510033,0.109567291,0.063901892,0.046302886,0.045473395,0.037876164,0.103170577,0.076442158,0.003382001,0.000908378,0.034796744,0.029691071
Guanosine 5'-diphosphate-d-mannose,4.73E-07,0.005595583,4.17E-07,3.82E-07,3.74E-07,5.47E-07,0.008936561,5.61E-07,5.06E-07,5.63E-07,3.65E-07,5.50E-07,3.91E-07,5.21E-07,5.70E-07,0.027470268,0.000855529,0.022300835,0.27360123,0.352896157,0.270254507,0.03808055,4.19E-07,3.77E-07,4.84E-07,4.23E-07,4.77E-07,3.81E-07
Guanosine 5'-monophosphate,0.00099556,0.001928024,0.002074406,0.001886846,0.001642515,0.001399346,0.002107702,0.012574426,0.013431282,0.012003338,0.001778446,0.001326268,0.027265833,0.014995865,0.026674499,0.112539884,0.089059689,0.101964163,0.054496468,0.057402347,0.057777949,0.053942545,0.057339392,0.080999048,0.000906092,0.058732976,0.106383914,0.046371178
Guanosine cyclic monophosphate,0.001511062,0.003260501,0.004430522,0.003997995,0.0006585,0.000739306,0.0037449,0.009298176,0.025875636,0.009219346,0.003498136,0.001140538,0.019358083,0.010733796,0.018879906,0.22629818,0.257152747,0.136083456,0.003524416,0.002818213,0.002411787,0.011340951,0.014293818,0.14868901,0.001099737,0.029802273,0.041327573,0.008811436
Harmane,0.011373308,0.008962654,0.011631577,0.006118686,0.006357949,0.000412149,0.007455938,0.009538077,0.010250622,0.028901232,2.92E-07,0.010375507,0.155016094,0.08124655,0.032440409,0.011655235,0.013619073,0.030043849,0.000793398,0.002646463,0.000539868,2.46E-07,2.45E-07,0.001393763,0.031557405,0.183964318,0.064985874,0.278719223
Histamine,0.008826106,0.006730682,0.015316628,0.017258463,0.059823708,0.063776035,0.018764589,0.008498493,0.008708969,0.008643432,0.053645504,0.006792019,0.021306658,0.034707271,0.034593734,0.095737585,0.032212784,0.036438027,0.004477882,0.00879616,0.006664291,0.010521227,0.006193964,0.332775881,0.013824065,0.035229821,0.023111754,0.026624277
Histidine,0.00123596,0.014392905,0.01298609,0.013834027,0.088247753,0.090692017,0.013292963,0.009248148,0.009297622,0.009006283,0.345275253,0.001218354,0.036194493,0.04515907,0.044718695,0.039663039,0.036051719,0.04806172,0.00392814,0.006867815,0.005634414,0.010026137,0.007954565,0.010039526,0.001219123,0.041993845,0.029373661,0.024386664
Homoarginine,0.114496801,0.01766646,0.015698044,0.014676969,0.005763445,0.005446473,0.015434192,0.090655194,0.088880633,0.090779715,0.004487901,0.174846303,0.016776112,0.00950503,0.013358359,0.011536802,0.012098635,0.013934117,0.017839387,0.008415829,0.012495606,0.013209135,0.01340183,0.011993451,0.141673259,0.022521873,0.024195261,0.018213183
Hydroquinidine,0.039721664,0.031393839,0.041706758,0.037323498,0.039076935,0.038764441,0.035843372,0.028541116,0.028592009,0.033870531,0.027954004,0.03395868,0.03339337,0.028768474,0.036446418,0.039607378,0.040146845,0.03643297,0.03848578,0.039304994,0.031523068,0.039974467,0.034043378,0.038909004,0.033732026,0.038466234,0.038116131,0.035902615
Hyperoside,1.55E-07,0.002458799,0.002296728,0.002710042,1.91E-07,1.81E-07,0.003182328,0.33838248,0.442170546,0.201055263,1.40E-07,1.57E-07,0.000192663,1.39E-07,0.001381187,0.000591919,0.001505767,0.001432347,0.000204249,2.02E-07,1.99E-07,1.78E-07,1.50E-07,1.61E-07,1.55E-07,0.000166758,0.00094405,0.001322867
Hypoxanthine,0.014175947,0.002500316,0.000944006,0.001161355,0.002884808,0.005580944,2.28E-08,0.00451622,0.003632851,0.002721373,0.004291202,0.007520568,0.012938297,0.019260258,0.029416272,0.028950241,0.028973471,0.039811619,0.065115568,0.069019545,0.072781096,0.140711802,0.099119514,0.19121107,0.011345125,0.028268674,0.04351585,0.069631991
Indole-3-acetyl-l-glutamic acid,0.003345872,0.00306586,0.00635328,0.005147652,0.001304719,0.002172046,0.004749147,0.331111447,0.228952851,0.202452709,0.00177692,0.002074815,0.017433006,0.012734257,0.024390248,0.014080001,0.022586621,0.017576854,6.91E-05,0.000599791,0.000176751,0.02013295,0.011099399,0.010778776,0.00277766,0.016630498,0.015697112,0.020729687
Indole-3-carboxaldehyde,0.011552574,0.024953996,0.030184842,0.026212268,0.034622376,0.033790049,0.025847778,0.030857366,0.029633932,0.049487467,0.022511819,0.013839696,0.054197707,0.067246119,0.05116934,0.075277069,0.087873806,0.108942462,0.009257352,0.007866263,0.007351746,0.013803097,0.016112664,0.029359463,0.011305458,0.046399398,0.035584502,0.0447594
Indole-3-carboxylic acid,0.085211802,0.015026382,0.017687223,0.01579259,0.020063141,0.022983407,0.016494597,0.044173606,0.041499332,0.020540897,0.019422262,0.095399039,0.037088199,0.039374075,0.018255021,0.09137118,0.099314431,0.085932136,0.018238857,0.01248017,0.007906142,0.007745751,0.011579753,0.030232961,0.079002338,0.013387987,0.009486596,0.024310128
Indoleacetic acid,0.001598903,0.021682335,0.027261226,0.011045888,0.020109337,0.042229535,0.010295907,0.062028914,0.032012242,0.073159891,0.005867802,2.69E-07,0.058396482,0.02995029,0.243695824,0.019075303,0.00895929,0.046701175,0.037821578,0.029601295,0.037251312,0.003251415,0.009387259,0.007139836,2.49E-07,0.05884424,0.039859424,0.062772778
Inosine,5.76E-05,0.00068997,0.000263408,2.71E-06,0.002092238,0.001312229,7.05E-06,0.000839417,0.000444753,0.000877728,0.00042325,1.85E-05,0.000256551,2.19E-05,0.000109028,0.000569298,0.007801012,0.007327166,0.121799683,0.10932918,0.128694518,0.084702583,0.299314049,0.214070821,0.000167114,0.002363192,0.0007523,0.01569272
Inosine-5'-diphosphate,0.002013657,0.002020047,0.002536723,0.001093887,0.001077261,0.001156564,0.001530988,2.94E-08,2.35E-08,3.18E-08,0.001370449,0.002545614,0.00093484,0.001025661,0.000809065,3.00E-08,2.18E-08,3.32E-08,0.017235133,0.168082197,0.275644359,0.2365471,0.224995287,0.059380874,3.25E-08,3.04E-08,3.28E-08,2.73E-08
Inosine-5'-monophosphate,6.88E-05,2.18E-05,3.87E-05,3.85E-05,0.000101701,3.41E-05,7.32E-05,0.000100787,2.54E-05,3.11E-05,0.000102329,6.25E-05,5.06E-05,3.48E-06,3.36E-05,6.66E-05,4.26E-05,6.45E-05,0.164261592,0.162749256,0.188945863,0.164464152,0.163632939,0.154440617,4.84E-05,0.000125503,9.24E-05,0.000279199
Isoimperatorin,0.075141451,0.009572703,0.030915889,0.017488184,0.051569071,0.071411277,0.01903509,0.037534581,0.031081317,0.064111399,0.044291421,0.059412538,0.005095852,1.15E-07,0.000675307,0.00660372,0.006928514,1.34E-07,0.089892949,0.077647216,0.106109237,0.051324832,0.049696085,0.031820646,0.053004742,9.77E-08,1.02E-07,0.009635531
Isoleucine,0.007825724,0.096254818,0.038775625,0.024372078,0.067509687,0.061114345,0.031768907,0.014037674,0.011201449,0.012018404,0.068113839,0.008340659,0.044495344,0.051091599,0.047264822,0.048033031,0.05561399,0.056748575,0.030158727,0.022208279,0.017367675,0.016322331,0.01569127,0.023742336,0.018499483,0.039131691,0.034274429,0.038023211
Isoleucylisoleucine,0.065284932,0.021933244,0.031671286,0.024357232,0.080117842,0.046558509,0.026829306,0.097618968,0.082286871,0.107801148,0.04417637,0.074648927,0.006778092,0.005687185,0.004870703,0.024500527,0.02250467,0.035854345,0.034617679,0.024525227,0.028389124,0.01780283,0.016058638,0.017400539,0.038783674,0.005612392,0.007305519,0.006024223
Isopentenyladenine,0.000180607,0.000955662,3.08E-05,0.002361171,0.000304084,0.002581138,2.45E-08,0.000155136,0.000127684,0.001396749,0.001180294,9.89E-05,0.072289618,0.054730281,0.074953321,0.227269646,0.081454862,0.12563487,0.003699513,0.009770129,0.004965102,0.063324952,0.023238622,0.22805047,0.000152107,0.008339765,0.009071892,0.003682664
Isopongaflavone,0.034605407,0.032857438,0.030965826,0.028554934,0.032146231,0.030692604,0.032796357,0.031765873,0.030506391,0.039641004,0.041371393,0.033758467,0.037143977,0.039282163,0.038801772,0.03575582,0.040371369,0.042467055,0.03697004,0.032704117,0.028246192,0.033838094,0.038043322,0.03643615,0.035198124,0.042183085,0.040935082,0.04196171
Kaempferol-3-o-glucoside,0.00104192,0.000908441,0.000976837,0.001604873,0.002843603,0.001493218,0.000864013,0.33964928,0.399567982,0.226281641,0.001056535,0.002232325,0.004081553,0.004625604,0.000635051,0.002765074,0.000725856,0.000602899,0.00073404,0.000837317,0.00163001,0.001568629,2.24E-07,0.000689417,0.000922471,0.000502741,0.000519304,0.000639143
Kaempferol-4'-methyl ether,1.46E-07,2.33E-07,2.24E-07,1.98E-07,0.007927676,0.007478018,1.91E-07,2.34E-07,1.53E-07,1.69E-07,0.004927048,1.77E-07,0.116883905,0.080699589,0.127142156,0.188404103,0.120288832,0.125951064,0.041971282,0.026379066,0.00482601,0.039283656,0.035526184,0.072309026,1.69E-07,1.84E-07,1.54E-07,1.51E-07
Kaempferol 7-neohesperidoside,2.42E-07,0.001738264,0.000992913,0.000271732,0.002429767,0.002508852,0.00212729,0.3660588,0.390487802,0.225503757,0.002997222,2.32E-07,6.38E-05,2.65E-07,2.79E-07,5.83E-05,2.25E-07,0.000117294,0.001834055,0.000677818,2.46E-07,2.34E-07,1.84E-07,0.002129423,2.74E-07,2.37E-07,2.23E-07,2.80E-07
Kynurenine,0.003328704,0.109364758,0.12311398,0.098282738,0.058485959,0.063018498,0.107439444,0.018361294,0.015387838,0.013221113,0.114727884,0.002797073,0.025781432,0.02390214,0.019274888,0.03176648,0.026455144,0.037021161,0.005013783,0.005011311,0.004559183,0.004782442,0.002165839,0.017360874,0.003476893,0.021751515,0.019955114,0.024192517
L-glutamic acid,0.026064987,0.02447018,0.022765519,0.023026466,0.054300282,0.047223132,0.019961518,0.006476375,0.00584995,0.018991912,0.037754523,0.027826373,0.042932332,0.044381064,0.042600189,0.056370357,0.054034814,0.063228428,0.035703329,0.037793695,0.028766928,0.053763144,0.054698129,0.055849177,0.026175049,0.033121368,0.028809024,0.027061763
L-histidinol,0.001342285,5.88E-06,8.49E-06,0.00021175,0.000804961,0.000692314,1.62E-05,0.001665353,0.001568889,0.001421951,0.000558998,0.001015162,0.038927751,0.011969759,0.014418204,0.219797614,0.054222965,0.185176968,0.033460029,0.026281452,0.073571582,0.126100581,0.064498064,0.060081346,0.048588104,0.019404489,0.010056684,0.004132192
L-saccharopine,0.003016395,0.003336976,0.003129888,0.00293593,0.011334185,0.001726156,0.003694234,0.002806386,0.002851343,0.004174236,0.001139463,0.00744655,0.009956344,0.027931371,0.008304782,0.227335247,0.074361421,0.186640207,0.018121312,0.081949259,0.041519552,0.057430882,0.035892731,0.045126061,0.00310338,0.031280747,0.023435075,0.080019892
L-tyrosine,0.002966458,0.0186698,0.017544929,0.012908867,0.006349137,0.008294789,0.007185925,0.114476961,0.109063242,0.144066619,0.005761468,0.002817021,0.048004387,0.076583978,0.079467736,0.03875014,0.03587026,0.046140574,0.018401075,0.029248402,0.025261193,0.013816681,0.010436104,0.032236272,0.003531096,0.038827907,0.019229084,0.034089903
Leu-leu-tyr,0.074534793,0.052044409,0.060409202,0.021295401,0.010949814,0.011205705,0.050188708,0.08515181,0.093188339,0.097741859,0.011225419,0.084004292,0.010558723,0.00430169,0.003971221,0.012560949,0.008409017,0.013053914,0.0468055,0.034586865,0.038666701,0.042465722,0.040739146,0.020345123,0.062399379,0.001674669,0.003691237,0.003830393
Luteolin,0.024369185,7.75E-08,0.000949032,7.45E-08,9.70E-08,8.57E-08,0.000658065,0.339753244,0.35369774,0.235506521,8.56E-08,0.023679516,7.84E-08,8.89E-08,0.003108047,9.35E-08,8.20E-08,1.03E-07,9.85E-08,9.20E-08,9.88E-08,8.65E-08,8.20E-08,9.30E-08,0.018276968,8.69E-08,8.97E-08,8.91E-08
Luvangetin,0.001683072,0.00059707,0.000477245,0.000904756,1.29E-07,1.32E-07,0.001172013,0.251295679,0.324652897,0.244099047,1.49E-07,1.46E-07,1.45E-07,0.000316107,1.50E-07,0.038574885,0.038148483,0.036351516,0.003048811,0.001764425,1.41E-07,0.018666913,0.016589364,0.019477103,1.36E-07,1.38E-07,1.30E-07,0.002179221
Lysine,0.0017131,0.024429096,0.026211665,0.024456976,0.022416316,0.023651964,0.027356595,0.003913672,0.003638116,0.003204329,0.018515205,0.001247543,0.066534072,0.066628344,0.06912755,0.054737804,0.074816879,0.073976286,0.007266404,0.009115817,0.0074763,0.099607364,0.083242019,0.021101753,0.001584282,0.069583913,0.04780452,0.066642124
Maltol,0.013224109,0.108740015,0.151404204,0.097128612,0.141039361,0.098904915,0.113455552,0.028356826,0.024056224,0.026614559,0.081169438,0.026830816,0.003811806,0.00236642,0.002007032,0.001232023,0.005601998,0.003037766,0.001733888,0.001421806,0.001438935,0.000757373,7.58E-05,0.000247408,0.016851464,0.010845953,0.009526443,0.028119262
Maltose,0.013606453,0.129124154,0.126917123,0.1257429,0.007119854,0.006842317,0.12826735,0.120686061,0.116792872,0.111972656,0.009357696,0.017518246,0.001452488,0.001042106,0.001994832,0.001782929,0.001610401,0.001585555,0.002209744,0.003413853,0.00236111,0.001502029,0.001877728,0.00164048,0.017513536,0.015489535,0.017532203,0.013043789
Mannitol,0.043728471,0.02738069,0.03161283,0.026719654,0.037491768,0.02902105,0.026393929,0.025716247,0.025359546,0.044455763,0.03018661,0.041389501,0.041560428,0.04472431,0.066411151,0.032519457,0.029813939,0.048804822,0.023664813,0.031008497,0.021357861,0.029138774,0.031991079,0.024325299,0.085864688,0.036598488,0.020109496,0.042650842
Meglutol,0.00756955,0.072215724,0.070483974,0.056437782,0.03650577,0.038409767,0.060950421,0.009858225,0.008936277,0.00882813,0.031822434,0.006778422,0.03619583,0.030396322,0.025130875,0.068652541,0.056399771,0.05874941,0.022491642,0.027950239,0.020706284,0.055517175,0.053087659,0.037308233,0.005725827,0.024519886,0.029502936,0.038868896
Melezitose,0.00954824,0.091479933,0.097969468,0.085531631,0.040499734,0.038293686,0.086447736,0.153569552,0.138489069,0.154352929,0.03937352,0.016679496,0.001153282,0.000861715,0.003070667,0.000306941,0.000774335,0.000451853,0.005449961,0.005448871,0.003483403,0.004211239,0.004879461,0.003480888,0.009512541,0.002059162,0.001341971,0.001278718
Melibiose,0.002598079,0.09499265,0.104786835,0.012310871,0.017775009,0.014673553,0.095267177,0.012455487,0.040825746,0.059882231,0.01332486,0.015931085,0.020917702,0.014770112,0.034998845,0.002296913,0.004087817,0.002273602,0.041214457,0.031001759,0.030282666,0.015459394,0.022340397,0.004182703,0.017281902,0.080143774,0.09138337,0.102541006
Methionine,0.005626662,0.040311625,0.04365637,0.03754824,0.081033946,0.077619033,0.038470043,0.002259414,0.001728831,0.00072775,0.07803733,0.005047148,0.051101213,0.05556903,0.049772995,0.050280867,0.053933752,0.051807281,0.037058707,0.020049075,0.02080809,0.026463399,0.026251127,0.029825435,0.004816927,0.039517116,0.031907019,0.038771575
Methioninesulfoxide,0.023617844,0.020469558,0.020638809,0.034765131,0.040200141,0.043400753,0.02111638,0.049873911,0.045431923,0.061867297,0.038109005,0.020250703,0.027929237,0.051380686,0.023554874,0.057392276,0.026776884,0.06263153,0.008881783,0.017355916,0.01308679,0.006421723,0.005234793,0.031961528,0.021494548,0.080066705,0.057683562,0.088405714
Methohexital,0.021350735,0.044754,0.127808312,0.033132864,0.053604766,0.056409844,0.118459064,0.034583902,0.007711803,0.036665982,0.009808718,0.018218819,0.048039493,0.035994714,0.015937517,0.045056684,0.008555286,0.057419551,0.011939581,0.014374745,0.058330931,0.008945551,0.008699163,0.033096634,0.015296109,0.02583384,0.022176625,0.027794771
Mucic acid,0.004145426,0.189912841,0.184366654,0.17127094,0.01711213,0.020304584,0.236340769,0.0270293,0.048408065,0.02653307,0.016852108,0.001346992,0.002820959,0.003543356,0.003575685,0.003034371,0.013157251,0.011025511,0.000143563,7.97E-06,0.000181015,0.003967804,0.004552099,0.000684402,0.009388814,0.000118189,0.00012036,5.58E-05
N-acetylaspartic acid,0.010643762,0.012904705,0.015558052,0.016824272,0.004467546,0.016543146,0.012649657,0.033169347,0.028396985,0.043987632,0.012280628,0.000325907,0.0676455,0.071845532,0.04358307,0.037570703,0.036107627,0.037543723,0.009994916,0.009201475,0.00864392,0.024519242,0.019217552,0.046918433,0.011078061,0.154838357,0.084147373,0.129392879
N-acetylglutamic acid,0.001961933,0.005781503,0.005920725,0.006086491,0.006477836,0.006902058,0.00627007,0.015249449,0.019444104,0.014818221,0.006343101,0.001655414,0.043699227,0.109127824,0.033736475,0.028473338,0.021659625,0.029060187,0.081276122,0.050650332,0.071862276,0.018462548,0.014387581,0.026961388,0.001851975,0.159091871,0.070556755,0.142231573
N-acetylhistidine,5.25E-08,0.041238448,0.051772665,0.040903835,0.132441067,0.095583924,0.03766844,0.024775999,0.008350927,0.031404495,0.138566203,5.48E-08,0.020725133,0.029964349,0.011115823,0.029750786,0.02063205,0.027825532,0.005501941,0.00631225,0.012879615,0.020435904,0.010734423,0.016710467,5.92E-08,0.112294809,0.025688422,0.046722326
N-acetylleucine,0.000408717,0.005349742,0.007779865,0.007625823,0.003323684,0.002864278,0.004021451,0.013769648,0.015832998,0.01292869,0.002213057,0.000619504,0.055933243,0.10266455,0.122209596,0.015071252,0.010511745,0.0155893,0.041332484,0.02720091,0.011247224,0.007338455,0.00522465,0.010924303,0.000615046,0.356894274,0.042748414,0.097757102
N-acetylmethionine,2.57E-05,0.027438443,0.028659678,0.024834228,0.000472389,0.00054788,0.027080049,0.003406191,0.004373372,0.000598031,0.001409482,2.72E-05,0.069012063,0.100476775,0.052925058,0.077127283,0.105383115,0.08935261,0.021598435,0.013203612,0.00351887,0.005200235,0.004562377,0.027784807,0.001362325,0.145503012,0.063503967,0.100612776
N-acetylphenylalanine,0.00812739,0.057470658,0.061397645,0.0473645,0.003160528,0.003728941,0.037418753,0.028325727,0.03108454,0.029265142,0.001693678,0.005891491,0.058316281,0.087168445,0.037218228,0.013340289,0.007360659,0.013968267,0.021694277,0.015021705,0.014600976,0.005170051,0.004121364,0.011909448,0.00712966,0.228908674,0.049080643,0.11006204
N-acetyltryptophan,0.016875193,0.105675339,0.114517749,0.105058675,0.010236861,0.008063543,0.11431611,0.047610198,0.033912843,0.080696028,0.007891489,0.014735699,0.02124113,0.021806335,0.011333759,0.048940973,0.014037194,0.025351028,0.009445879,0.009770902,0.007735751,0.040254734,0.028582584,0.017256549,0.013200597,0.041542244,0.015623542,0.014287078
N-formylmethionine,0.001609438,0.011158935,0.011530391,0.0118133,0.035624616,0.029538732,0.010004621,0.001740942,0.002026875,0.000161633,0.025287923,0.0015427,0.04672215,0.041550971,0.036020429,0.084142011,0.11217226,0.089474298,0.027647712,0.015725688,0.01462937,0.028974503,0.021527716,0.057469288,0.000700504,0.082782778,0.063127429,0.135292786
"N,n-dimethylarginine",0.049279499,0.033872227,0.033898025,0.035188592,0.016404103,0.015019415,0.034529987,0.007453105,0.010716377,0.00971878,0.012463087,0.054815107,0.039148649,0.04660572,0.043001385,0.052946879,0.044369022,0.049294583,0.022020457,0.023333199,0.024503122,0.046785457,0.04781642,0.049556884,0.058796921,0.050200736,0.04796493,0.040297333
"N,n-dimethylglycine",0.003964613,0.001672927,0.002262719,0.00264911,0.002991573,0.002654004,0.001490195,0.016157974,0.003962752,0.022371396,0.003430314,0.003650123,0.036089374,0.090616474,0.051168319,0.065421651,0.061510309,0.112227209,0.063899848,0.102156158,0.061226835,0.042165001,0.039496141,0.031766887,0.004114704,0.058389371,0.047057951,0.065436075
N6-isopentenyladenosine,0.000371645,0.003136162,0.00143916,0.003336689,0.00078876,0.000631648,0.00498964,0.00254153,0.001260457,0.002898449,2.98E-08,0.000976553,0.014563563,0.009363692,0.01589943,0.005719729,0.346446335,0.298854814,0.04910431,0.030999272,0.036402552,0.006842143,0.050484121,0.060319022,0.000238539,0.023217486,0.01036832,0.018805951
N8-acetylspermidine,0.015926202,0.010289075,0.007611099,0.008608232,0.01156938,0.008662942,0.007200459,0.023989395,0.026501729,0.021324656,0.006171273,0.015883623,0.059366019,0.04150513,0.044858224,0.040098355,0.025271046,0.03075617,0.055521181,0.052572438,0.054249176,0.074049387,0.058855254,0.180415861,0.00856686,0.021798566,0.040028536,0.048349734
Naringenin,7.34E-05,1.32E-07,0.000168959,0.000485936,0.01629419,8.94E-08,0.001542499,0.000749718,0.002263087,0.000208982,1.05E-07,9.23E-08,0.021915683,0.048421712,0.032118487,0.161696369,0.320334168,0.260449764,0.017431391,0.008479525,0.001615369,0.031300797,0.01983591,0.054275999,0.000239126,1.11E-07,9.83E-05,1.37E-07
Niacin,0.002273101,0.005430313,0.005564205,0.005100635,0.010773695,0.00951983,0.004861233,0.009084803,0.009625728,0.010610176,0.006318418,0.002290927,0.052856509,0.038493037,0.042724561,0.057529449,0.06640612,0.051736553,0.035312629,0.031979659,0.036114837,0.08288831,0.168577974,0.080040041,0.002188706,0.063156289,0.053420114,0.055122155
Niacinamide,0.001048982,0.005280368,0.007543591,0.01018083,9.83E-05,0.000102258,0.008951326,0.008730496,0.007615872,0.012286588,6.84E-05,0.001321389,0.016606965,0.020882113,0.014989748,0.047070624,0.119280709,0.131520234,0.129927683,0.072267179,0.152169451,0.091100561,0.055123905,0.018887687,0.001288473,0.018877916,0.017312903,0.029465473
Np-000004(11),0.001929118,0.006910463,0.009411855,0.001419371,0.152360987,0.162776257,0.002113127,0.001469095,0.001590874,0.001323496,0.132281967,3.56E-07,0.009890636,0.069857937,0.062544023,0.038812512,0.056798653,0.065567072,0.046837153,0.056926685,0.002994465,0.017695835,0.015230471,0.066018757,3.43E-07,0.005674506,0.006052647,0.005511339
O-acetyl-l-homoserine,0.037014022,0.034372126,0.009042602,0.009065145,0.091377127,0.074317582,0.006459994,0.010539421,0.013692079,0.01159736,0.020926369,0.022181427,0.03138472,0.044116123,0.04186202,0.038868819,0.084272064,0.053556545,0.059516492,0.033439764,0.036208587,0.015338705,0.022000535,0.024675102,0.003796023,0.065473555,0.046037684,0.058868016
