"Metabolite","Hyd","avg","Category"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.1510_2",1.14632139978089e-06,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.1510_3",2.02791512768579e-05,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.1510_4",0.000418719377170261,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.4601N_1",0.0126528939903453,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.4601N_2",0.00342312036682661,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.4601N_3",1.47451114865172e-06,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.555_1",0.00841576296586045,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.555_2",0.00639110693053049,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.555_3",0.0163473711548467,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPea.7404_1",2.0197116653955e-06,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPea.7404_2",3.86140856036797e-05,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPea.7404_3",0.000310160449928758,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.412_1",0.2045561755,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.412_2",0.101418840235777,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.412_3",0.0756505495989127,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.466_1",0.0107442386253069,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.466_2",0.0159147010103559,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.466_3",0.0297939281157153,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.503_1",0.4595230585,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HY.YEST.503_2",0.00502802525797986,"Other"
